,place names,coordinates
0,"Croydon, Greater London, England, CR0 1SZ, United Kingdom","(51.3713049, -0.101957)"
1,"Greenwich, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417)"
2,"Bromley, Greater London, England, BR1 1EY, United Kingdom","(51.4028046, 0.0148142)"
3,"Redbridge, Eastern Avenue, Redbridge, London Borough of Redbridge, London, Greater London, England, IG4 5DQ, United Kingdom","(51.5763203, 0.0454097)"
4,"Wandsworth, Greater London, England, SW18 1UJ, United Kingdom","(51.4570271, -0.1932607)"
5,"Ealing, Greater London, England, W5 5DG, United Kingdom","(51.5126553, -0.3051952)"
6,"Ealing, Greater London, England, W5 5DG, United Kingdom","(51.5126553, -0.3051952)"
7,"Hounslow, Greater London, England, TW3 1DA, United Kingdom","(51.4686132, -0.3613471)"
8,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.5300157, 0.029309078788513746)"
9,"Sutton County, 76950, United States","(30.51216325, -100.53841807826248)"
10,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541771297992009)"
11,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7JW, United Kingdom","(51.4952111, -0.1163354)"
12,"London Borough of Richmond upon Thames, London, Greater London, England, United Kingdom","(51.4405529, -0.3076394377337949)"
13,"Wandsworth, Greater London, England, SW18 1UJ, United Kingdom","(51.4570271, -0.1932607)"
14,"London Borough of Hillingdon, London, Greater London, England, United Kingdom","(51.542519299999995, -0.44833493117949663)"
15,"Havering, Castlehaven Road, Maitland Park, Kentish Town, London Borough of Camden, London, Greater London, England, NW1 8RJ, United Kingdom","(51.54437325, -0.14431380000000021)"
16,"London Borough of Barking and Dagenham, London, Greater London, England, United Kingdom","(51.5540907, 0.15048888801039415)"
17,"Redbridge, Eastern Avenue, Redbridge, London Borough of Redbridge, London, Greater London, England, IG4 5DQ, United Kingdom","(51.5763203, 0.0454097)"
18,"Kingston upon Thames, Greater London, England, KT1 1JS, United Kingdom","(51.4096275, -0.3062621)"
19,"Sutton County, 76950, United States","(30.51216325, -100.53841807826248)"
20,"Westminster, Millbank, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398)"
21,"Hackney, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621)"
22,"Enfield, Greater London, England, EN2 6LD, United Kingdom","(51.6520851, -0.0810175)"
23,"Hackney, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621)"
24,"London Borough of Harrow, London, Greater London, England, United Kingdom","(51.596827149999996, -0.3373046180437286)"
25,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541771297992009)"
26,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624292, -0.0101787)"
27,"Ealing, Greater London, England, W5 5DG, United Kingdom","(51.5126553, -0.3051952)"
28,"Hounslow, Greater London, England, TW3 1DA, United Kingdom","(51.4686132, -0.3613471)"
29,"Bromley, Greater London, England, BR1 1EY, United Kingdom","(51.4028046, 0.0148142)"
30,"London Borough of Hillingdon, London, Greater London, England, United Kingdom","(51.542519299999995, -0.44833493117949663)"
31,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184)"
32,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541771297992009)"
33,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7JW, United Kingdom","(51.4952111, -0.1163354)"
34,"Southwark, The Cut, Bankside, Elephant and Castle, London Borough of Southwark, London, Greater London, England, SE1 8JZ, United Kingdom","(51.503925, -0.1049663)"
35,"Havering, Castlehaven Road, Maitland Park, Kentish Town, London Borough of Camden, London, Greater London, England, NW1 8RJ, United Kingdom","(51.54437325, -0.14431380000000021)"
36,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.5300157, 0.029309078788513746)"
37,"Croydon, Greater London, England, CR0 1SZ, United Kingdom","(51.3713049, -0.101957)"
38,"Croydon, Greater London, England, CR0 1SZ, United Kingdom","(51.3713049, -0.101957)"
39,"Chipping Barnet, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261)"
40,"Epping Forest, London Borough of Waltham Forest, London, Essex, Greater London, England, United Kingdom","(51.6676884, 0.054801129257444646)"
41,"Westminster, Millbank, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398)"
42,"Ealing, Greater London, England, W5 5DG, United Kingdom","(51.5126553, -0.3051952)"
43,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911)"
44,"Bexley, Franklin County, Ohio, 43209, United States","(39.9692378, -82.936864)"
45,"Croydon, Greater London, England, CR0 1SZ, United Kingdom","(51.3713049, -0.101957)"
46,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624292, -0.0101787)"
47,"Hounslow, Greater London, England, TW3 1DA, United Kingdom","(51.4686132, -0.3613471)"
48,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911)"
49,"Royal Borough of Kensington and Chelsea, London, Greater London, England, United Kingdom","(51.50379515, -0.20078938323179596)"
50,"Hounslow, Greater London, England, TW3 1DA, United Kingdom","(51.4686132, -0.3613471)"
51,"Southwark, The Cut, Bankside, Elephant and Castle, London Borough of Southwark, London, Greater London, England, SE1 8JZ, United Kingdom","(51.503925, -0.1049663)"
52,"London Borough of Harrow, London, Greater London, England, United Kingdom","(51.596827149999996, -0.3373046180437286)"
53,"Bromley, Greater London, England, BR1 1EY, United Kingdom","(51.4028046, 0.0148142)"
54,"Epping Forest, London Borough of Waltham Forest, London, Essex, Greater London, England, United Kingdom","(51.6676884, 0.054801129257444646)"
55,"Islington, Greater London, England, N1 2SJ, United Kingdom","(51.5384287, -0.0999051)"
56,"Southwark, The Cut, Bankside, Elephant and Castle, London Borough of Southwark, London, Greater London, England, SE1 8JZ, United Kingdom","(51.503925, -0.1049663)"
57,"Chipping Barnet, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261)"
58,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184)"
59,"Westminster, Millbank, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398)"
60,"Greenwich, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417)"
61,"Redbridge, Eastern Avenue, Redbridge, London Borough of Redbridge, London, Greater London, England, IG4 5DQ, United Kingdom","(51.5763203, 0.0454097)"
62,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541771297992009)"
63,"Sutton County, 76950, United States","(30.51216325, -100.53841807826248)"
64,"Tower Hamlets, Dover, Kent, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686)"
65,"London Borough of Hammersmith and Fulham, London, Greater London, England, United Kingdom","(51.498314199999996, -0.22787818358222445)"
66,"Islington, Greater London, England, N1 2SJ, United Kingdom","(51.5384287, -0.0999051)"
67,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.5300157, 0.029309078788513746)"
68,"London Borough of Harrow, London, Greater London, England, United Kingdom","(51.596827149999996, -0.3373046180437286)"
69,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184)"
70,"Bromley, Greater London, England, BR1 1EY, United Kingdom","(51.4028046, 0.0148142)"
71,"Hackney, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621)"
72,"Croydon, Greater London, England, CR0 1SZ, United Kingdom","(51.3713049, -0.101957)"
73,"Hackney, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621)"
74,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.5300157, 0.029309078788513746)"
75,"Havering, Castlehaven Road, Maitland Park, Kentish Town, London Borough of Camden, London, Greater London, England, NW1 8RJ, United Kingdom","(51.54437325, -0.14431380000000021)"
76,"Sutton County, 76950, United States","(30.51216325, -100.53841807826248)"
77,"Bexley, Franklin County, Ohio, 43209, United States","(39.9692378, -82.936864)"
78,"Greenwich, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417)"
79,"Sutton County, 76950, United States","(30.51216325, -100.53841807826248)"
80,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624292, -0.0101787)"
81,"Hounslow, Greater London, England, TW3 1DA, United Kingdom","(51.4686132, -0.3613471)"
82,"Redbridge, Eastern Avenue, Redbridge, London Borough of Redbridge, London, Greater London, England, IG4 5DQ, United Kingdom","(51.5763203, 0.0454097)"
83,"Hounslow, Greater London, England, TW3 1DA, United Kingdom","(51.4686132, -0.3613471)"
84,"Royal Borough of Kensington and Chelsea, London, Greater London, England, United Kingdom","(51.50379515, -0.20078938323179596)"
85,"Ealing, Greater London, England, W5 5DG, United Kingdom","(51.5126553, -0.3051952)"
86,"Hackney, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621)"
87,"London Borough of Richmond upon Thames, London, Greater London, England, United Kingdom","(51.4405529, -0.3076394377337949)"
88,"Havering, Castlehaven Road, Maitland Park, Kentish Town, London Borough of Camden, London, Greater London, England, NW1 8RJ, United Kingdom","(51.54437325, -0.14431380000000021)"
89,"Royal Borough of Kensington and Chelsea, London, Greater London, England, United Kingdom","(51.50379515, -0.20078938323179596)"
90,"Chipping Barnet, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261)"
91,"London Borough of Barking and Dagenham, London, Greater London, England, United Kingdom","(51.5540907, 0.15048888801039415)"
92,"Southwark, The Cut, Bankside, Elephant and Castle, London Borough of Southwark, London, Greater London, England, SE1 8JZ, United Kingdom","(51.503925, -0.1049663)"
93,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7JW, United Kingdom","(51.4952111, -0.1163354)"
94,"London Borough of Richmond upon Thames, London, Greater London, England, United Kingdom","(51.4405529, -0.3076394377337949)"
95,"Epping Forest, London Borough of Waltham Forest, London, Essex, Greater London, England, United Kingdom","(51.6676884, 0.054801129257444646)"
96,"London Borough of Merton, London, Greater London, England, United Kingdom","(51.41086985, -0.18809708858824303)"
97,"London Borough of Hammersmith and Fulham, London, Greater London, England, United Kingdom","(51.498314199999996, -0.22787818358222445)"
98,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624292, -0.0101787)"
99,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184)"
100,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911)"
101,"London Borough of Barking and Dagenham, London, Greater London, England, United Kingdom","(51.5540907, 0.15048888801039415)"
102,"London Borough of Barking and Dagenham, London, Greater London, England, United Kingdom","(51.5540907, 0.15048888801039415)"
103,"London Borough of Barking and Dagenham, London, Greater London, England, United Kingdom","(51.5540907, 0.15048888801039415)"
104,"London Borough of Hammersmith and Fulham, London, Greater London, England, United Kingdom","(51.498314199999996, -0.22787818358222445)"
105,"Chipping Barnet, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261)"
106,"Islington, Greater London, England, N1 2SJ, United Kingdom","(51.5384287, -0.0999051)"
107,"Kingston upon Thames, Greater London, England, KT1 1JS, United Kingdom","(51.4096275, -0.3062621)"
108,"Southwark, The Cut, Bankside, Elephant and Castle, London Borough of Southwark, London, Greater London, England, SE1 8JZ, United Kingdom","(51.503925, -0.1049663)"
109,"Royal Borough of Kensington and Chelsea, London, Greater London, England, United Kingdom","(51.50379515, -0.20078938323179596)"
110,"Tower Hamlets, Dover, Kent, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686)"
111,"Kingston upon Thames, Greater London, England, KT1 1JS, United Kingdom","(51.4096275, -0.3062621)"
112,"Tower Hamlets, Dover, Kent, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686)"
113,"London Borough of Merton, London, Greater London, England, United Kingdom","(51.41086985, -0.18809708858824303)"
114,"Epping Forest, London Borough of Waltham Forest, London, Essex, Greater London, England, United Kingdom","(51.6676884, 0.054801129257444646)"
115,"Hounslow, Greater London, England, TW3 1DA, United Kingdom","(51.4686132, -0.3613471)"
116,"Redbridge, Eastern Avenue, Redbridge, London Borough of Redbridge, London, Greater London, England, IG4 5DQ, United Kingdom","(51.5763203, 0.0454097)"
117,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184)"
118,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7JW, United Kingdom","(51.4952111, -0.1163354)"
119,"Bexley, Franklin County, Ohio, 43209, United States","(39.9692378, -82.936864)"
120,"Islington, Greater London, England, N1 2SJ, United Kingdom","(51.5384287, -0.0999051)"
121,"London Borough of Merton, London, Greater London, England, United Kingdom","(51.41086985, -0.18809708858824303)"
122,"Croydon, Greater London, England, CR0 1SZ, United Kingdom","(51.3713049, -0.101957)"
123,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184)"
124,"London Borough of Hillingdon, London, Greater London, England, United Kingdom","(51.542519299999995, -0.44833493117949663)"
125,"Ealing, Greater London, England, W5 5DG, United Kingdom","(51.5126553, -0.3051952)"
126,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624292, -0.0101787)"
127,"Kingston upon Thames, Greater London, England, KT1 1JS, United Kingdom","(51.4096275, -0.3062621)"
128,"Royal Borough of Kensington and Chelsea, London, Greater London, England, United Kingdom","(51.50379515, -0.20078938323179596)"
129,"Hackney, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621)"
130,"Greenwich, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417)"
131,"Redbridge, Eastern Avenue, Redbridge, London Borough of Redbridge, London, Greater London, England, IG4 5DQ, United Kingdom","(51.5763203, 0.0454097)"
132,"Wandsworth, Greater London, England, SW18 1UJ, United Kingdom","(51.4570271, -0.1932607)"
133,"London Borough of Harrow, London, Greater London, England, United Kingdom","(51.596827149999996, -0.3373046180437286)"
134,"Tower Hamlets, Dover, Kent, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686)"
135,"Tower Hamlets, Dover, Kent, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686)"
136,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184)"
137,"Kingston upon Thames, Greater London, England, KT1 1JS, United Kingdom","(51.4096275, -0.3062621)"
138,"London Borough of Merton, London, Greater London, England, United Kingdom","(51.41086985, -0.18809708858824303)"
139,"London Borough of Richmond upon Thames, London, Greater London, England, United Kingdom","(51.4405529, -0.3076394377337949)"
140,"Greenwich, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417)"
141,"Royal Borough of Kensington and Chelsea, London, Greater London, England, United Kingdom","(51.50379515, -0.20078938323179596)"
142,"Greenwich, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417)"
143,"Islington, Greater London, England, N1 2SJ, United Kingdom","(51.5384287, -0.0999051)"
144,"Wandsworth, Greater London, England, SW18 1UJ, United Kingdom","(51.4570271, -0.1932607)"
145,"London Borough of Hammersmith and Fulham, London, Greater London, England, United Kingdom","(51.498314199999996, -0.22787818358222445)"
146,"Wandsworth, Greater London, England, SW18 1UJ, United Kingdom","(51.4570271, -0.1932607)"
147,"Chipping Barnet, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261)"
